IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP44;IP_PROP45;IP_PROP46;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
878514786424789720;Набор столовых приборов Andrea 24 пр;Набор столовых приборов Andrea 24 пр;;34788;;;;;;1;;;;;;;;
6132051549843513844;Нож Santoku 17\,8 см Cascara чёрный (кор=48шт);Нож Santoku 17\,8 см Cascara чёрный (кор=48шт);;31453;;;;;;2;;;;;;;;
8094190219847104357;Нож для пиццы Mocco& Latte (Коричневый) 36 шт.в уп. ;Нож для пиццы Mocco& Latte (Коричневый) 36 шт.в уп. ;;34174;;;;;;3;;;;;;;;
2460209646020752066;Нож поварской 20 см Cascara чёрный (кор=48шт);Нож поварской 20 см Cascara чёрный (кор=48шт);;31455;;;;;;1;;;;;;;;
543107408192953321;Ножеточка Mocco;Ножеточка Mocco;;34807;;;;;;2;;;;;;;;
1173814163081835383;Ножеточка Weser (стальной) (кор=144);Ножеточка Weser (стальной) (кор=144);;36379;;;;;;1;;;;;;;;
8020789099106469644;Овощечистка Mocco& Latte (Коричневый) 36 шт.в уп. ;Овощечистка Mocco& Latte (Коричневый) 36 шт.в уп. ;;34175;;;;;;3;;;;;;;;
3919836927945500827;Половник (нейлон) Anatomie ;Половник (нейлон) Anatomie ;;32635;;;;;;4;;;;;;;;
8866713237567679666;Половник нейлон Mocco& Latte (Коричневый) 36 шт.в уп. ;Половник нейлон Mocco& Latte (Коричневый) 36 шт.в уп. ;;34173;;;;;;9;;;;;;;;
3698510091560841577;Пресс для чеснока Mocco&Latte;Пресс для чеснока Mocco&Latte;;34785;;;;;;1;;;;;;;;
6149066118025294557;Сковорода 24 см Rhapsody (синяя) 6шт.;Сковорода 24 см Rhapsody (синяя) 6шт.;;32352;;;;;;1;;;;;;;;
8823375444095035213;Сковорода 24*4\,5см Infinity (кор=4);Сковорода 24*4\,5см Infinity (кор=4);;36386;;;;;;1;;;;;;;;
4871820632515003308;Сковорода 24см Jersey;Сковорода 24см Jersey;;33951;;;;;;2;;;;;;;;
4135862599675977448;Сковорода 24см б/кр Geste(красный);Сковорода 24см б/кр Geste(красный);;36464;;;;;;1;;;;;;;;
