IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP44;IP_PROP45;IP_PROP46;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
7e407e67-e2d6-11e6-80e5-0014d111070f;Набор чайных пар 240мл 6шт Constance Мелкие цветы;Набор чайных пар 240мл 6шт Constance Мелкие цветы;;30624;7909;;Чехия;Фарфор;Тхун;136;0;0;0;0;;;1910.00;RUB
987a5c3a-e2d6-11e6-80e5-0014d111070f;Набор тарелок 19см 6шт Constance Мелкие цветы;Набор тарелок 19см 6шт Constance Мелкие цветы;;30625;7829;;Чехия;Фарфор;Тхун;150;0;0;0;0;;;1330.00;RUB
8ab498f2-f67b-11e6-80e7-0014d111070f;Сервиз чайный 6пер 15пр Constance Мелкие цветы;Сервиз чайный 6пер 15пр Constance Мелкие цветы;;30829;7944;;Чехия;Фарфор;Тхун;6;0;0;0;0;;;4270.00;RUB
96f09990-f67b-11e6-80e7-0014d111070f;Набор тарелок 18пр Constance Мелкие цветы;Набор тарелок 18пр Constance Мелкие цветы;;30830;8004;;Чехия;Фарфор;Тхун;23;0;0;0;0;;;4900.00;RUB
b4811863-f67b-11e6-80e7-0014d111070f;Овальное блюдо 21см Constance Мелкие цветы;Овальное блюдо 21см Constance Мелкие цветы;;30831;7896;;Чехия;Фарфор;Тхун;29;0;0;0;0;;;490.00;RUB
cdc8eb5d-f67b-11e6-80e7-0014d111070f;Круглое блюдо 30см Constance Мелкие цветы;Круглое блюдо 30см Constance Мелкие цветы;;30832;7874;;Чехия;Фарфор;Тхун;50;0;0;0;0;;;620.00;RUB
e6df35ae-f67b-11e6-80e7-0014d111070f;Салатник 16см 1шт Constance Мелкие цветы;Салатник 16см 1шт Constance Мелкие цветы;;30833;7686;;Чехия;Фарфор;Тхун;156;0;0;0;0;;;300.00;RUB
14036f3c-f67c-11e6-80e7-0014d111070f;Салатник 19см 1шт Constance Мелкие цветы;Салатник 19см 1шт Constance Мелкие цветы;;30834;7663;;Чехия;Фарфор;Тхун;806;0;0;0;0;;;280.00;RUB
1fc86e36-f67c-11e6-80e7-0014d111070f;Набор тарелок 17см 6шт Constance Мелкие цветы;Набор тарелок 17см 6шт Constance Мелкие цветы;;30835;7716;;Чехия;Фарфор;Тхун;1;0;0;0;0;;;1250.00;RUB
2be3646f-f67c-11e6-80e7-0014d111070f;Набор тарелок 21см 6шт Constance Мелкие цветы;Набор тарелок 21см 6шт Constance Мелкие цветы;;30836;7657;;Чехия;Фарфор;Тхун;1;0;0;0;0;;;1660.00;RUB
